city,facebook,instagram,whatsapp,description
Bielefeld,https://www.facebook.com/groups/usk.bielefeld,,https://chat.whatsapp.com/CjSVEdvT5kk1AByXhfLswk,"Treffen in der Stadt: meist Sonntags von ca. 11 bis ca. 15 Uhr"
Lübeck,,,,"Treffen jeden 1. und 3. Sonntag im Monat, 11.00 Uhr - 13.00 Uhr (zum Throwdown)."
Osnabrück,,https://www.instagram.com/uskosna/,https://chat.whatsapp.com/B8Y9Y82gw4s11bjBT2hvog,"Treffen jeden 1. und 3. Sonntag im Monat, 11.00 Uhr - 13.00 Uhr (zum Throwdown)."
Paderborn,https://facebook.com/groups/usk.paderborn,,,"Treffen fast jeden Samstag von 11 bis ca. 13 Uhr"
Porta-Westfalica,https://www.facebook.com/groups/461399851412346,https://www.instagram.com/urbansketcherspw/,,"Treffen: immer am zweiten Samstag im Monat, von 10 bis 12 Uhr. Ort wird auf WhatsApp besprochen."
